house_name,Name,polarity_score
baratheon,gendry baratheon,-0.021646376811594203
baratheon,myrcella baratheon,-0.5994
baratheon,renly baratheon,-0.003783720930232552
baratheon,robert baratheon,-0.026600000000000002
baratheon,stannis baratheon,-0.024696283783783784
