season,name,avg_polarity,num_sentences
season_1,wildling,-0.2600857142857143,7
season_1,king joffrey,-0.19956250000000003,8
season_1,gendry baratheon,-0.19194444444444445,9
season_1,khal drogo,-0.18762307692307686,13
season_1,syrio forel,-0.18017,30
season_1,pyp,-0.16700714285714285,14
season_1,grenn,-0.15627916666666664,24
season_1,rakharo,-0.15516470588235295,17
season_1,qotho,-0.15036363636363634,11
season_1,rodrick cassel,-0.14892857142857144,7
