name,avg_polarity,num_sentences
radzal mo eraz,0.4512600000000001,10
maester aemon,0.2541142857142857,7
margaery tyrell,0.22291562499999992,64
petyr baelish,0.1794906976744186,43
olyvar,0.17338571428571428,7
torturer,0.16706666666666667,9
walder,0.1499875,24
hot pie,0.13698,10
loras,0.1350631578947368,19
guard,0.1337625,8
