name,avg_polarity,num_sentences
rorge,-0.42724999999999996,6
prisoner,-0.2946666666666667,9
men,-0.23461428571428572,14
rickard karstark,-0.23112500000000002,12
lord,-0.1890333333333333,6
quaith,-0.18845714285714285,7
roose,-0.17861428571428575,7
melisandre,-0.1697711111111111,45
lord mormont,-0.1328166666666667,18
gold cloak,-0.13262222222222222,9
